"county","year","cases","population"
"Adams",1968,6,17952
"Allen",1968,32,111028
"Ashland",1968,15,43504
"Ashtabula",1968,27,95077
"Athens",1968,12,54180
"Auglaize",1968,7,37893
"Belmont",1968,25,77856
"Brown",1968,10,25300
"Butler",1968,49,222616
"Carroll",1968,3,20961
"Champaign",1968,8,29910
"Clark",1968,42,153501
"Clermont",1968,23,91596
"Clinton",1968,4,31214
"Columbiana",1968,45,106723
"Coshocton",1968,7,32900
"Crawford",1968,14,48650
"Cuyahoga",1968,633,1744859
"Darke",1968,10,47749
"Defiance",1968,4,36756
"Delaware",1968,11,41964
"Erie",1968,22,74091
"Fairfield",1968,20,70676
"Fayette",1968,6,24888
"Franklin",1968,246,813246
"Fulton",1968,5,31976
"Gallia",1968,3,24102
"Geauga",1968,7,62514
"Greene",1968,21,122930
"Guernsey",1968,11,35664
"Hamilton",1968,376,933253
"Hancock",1968,17,60162
"Hardin",1968,7,30794
"Harrison",1968,6,16778
"Henry",1968,5,26557
"Highland",1968,9,28007
"Hocking",1968,11,19712
"Holmes",1968,3,21974
"Huron",1968,11,48486
"Jackson",1968,15,27442
"Jefferson",1968,35,95132
"Knox",1968,12,41702
"Lake",1968,50,196022
"Lawrence",1968,22,54932
"Licking",1968,29,105189
"Logan",1968,17,34195
"Lorain",1968,66,254095
"Lucas",1968,175,480010
"Madison",1968,7,27669
"Mahoning",1968,108,302985
"Marion",1968,26,62708
"Medina",1968,15,80291
"Meigs",1968,11,19652
"Mercer",1968,3,35530
"Miami",1968,18,82795
"Monroe",1968,4,15799
"Montgomery",1968,172,616195
"Morgan",1968,1,11380
"Morrow",1968,4,19616
"Muskingum",1968,28,76690
"Noble",1968,4,10547
"Ottawa",1968,10,36414
"Paulding",1968,6,18765
"Perry",1968,10,26807
"Pickaway",1968,12,38371
"Pike",1968,4,19284
"Portage",1968,14,122135
"Preble",1968,5,33389
"Putnam",1968,5,30472
"Richland",1968,36,131020
"Ross",1968,18,61689
"Sandusky",1968,16,61061
"Scioto",1968,30,76218
"Seneca",1968,17,60815
"Shelby",1968,10,37966
"Stark",1968,114,369341
"Summit",1968,176,558916
"Trumbull",1968,56,229248
"Tuscarawas",1968,28,75772
"Union",1968,8,22114
"Van Wert",1968,7,29417
"Vinton",1968,4,9471
"Warren",1968,19,84068
"Washington",1968,8,56029
"Wayne",1968,16,85563
"Williams",1968,5,33512
"Wood",1968,12,86389
"Wyandot",1968,5,21038
"Adams",1969,5,18472
"Allen",1969,33,110973
"Ashland",1969,19,43382
"Ashtabula",1969,24,96738
"Athens",1969,9,55036
"Auglaize",1969,10,38211
"Belmont",1969,32,79435
"Brown",1969,6,26010
"Butler",1969,69,224522
"Carroll",1969,9,21340
"Champaign",1969,8,30190
"Clark",1969,45,155326
"Clermont",1969,29,93532
"Clinton",1969,7,31381
"Columbiana",1969,31,107602
"Coshocton",1969,19,33278
"Crawford",1969,19,49611
"Cuyahoga",1969,586,1730679
"Darke",1969,7,48463
"Defiance",1969,6,36914
"Delaware",1969,9,42455
"Erie",1969,21,75050
"Fairfield",1969,29,72102
"Fayette",1969,3,25214
"Franklin",1969,252,824708
"Fulton",1969,7,32528
"Gallia",1969,10,24746
"Geauga",1969,13,62645
"Greene",1969,30,123987
"Guernsey",1969,15,36741
"Hamilton",1969,358,928899
"Hancock",1969,19,60742
"Hardin",1969,11,30806
"Harrison",1969,6,16866
"Henry",1969,5,26778
"Highland",1969,11,28582
"Hocking",1969,12,20051
"Holmes",1969,0,22526
"Huron",1969,11,49098
"Jackson",1969,13,27270
"Jefferson",1969,42,95580
"Knox",1969,12,41732
"Lake",1969,37,196237
"Lawrence",1969,21,55961
"Licking",1969,29,106588
"Logan",1969,17,34713
"Lorain",1969,82,255382
"Lucas",1969,200,482047
"Madison",1969,8,27991
"Mahoning",1969,107,303589
"Marion",1969,17,63804
"Medina",1969,19,81405
"Meigs",1969,8,19749
"Mercer",1969,10,35511
"Miami",1969,14,83533
"Monroe",1969,5,15748
"Montgomery",1969,178,611768
"Morgan",1969,2,11983
"Morrow",1969,3,20573
"Muskingum",1969,22,77318
"Noble",1969,2,10464
"Ottawa",1969,10,36827
"Paulding",1969,5,19004
"Perry",1969,6,27106
"Pickaway",1969,7,39330
"Pike",1969,8,19169
"Portage",1969,24,124095
"Preble",1969,7,33972
"Putnam",1969,2,30811
"Richland",1969,36,130286
"Ross",1969,17,61326
"Sandusky",1969,20,61042
"Scioto",1969,31,76584
"Seneca",1969,16,60666
"Shelby",1969,7,37854
"Stark",1969,116,370699
"Summit",1969,171,555650
"Trumbull",1969,73,230886
"Tuscarawas",1969,31,76508
"Union",1969,8,22949
"Van Wert",1969,5,29260
"Vinton",1969,2,9469
"Warren",1969,22,84664
"Washington",1969,12,56608
"Wayne",1969,12,86372
"Williams",1969,5,33551
"Wood",1969,15,88155
"Wyandot",1969,6,21456
"Adams",1970,9,19047
"Allen",1970,39,110858
"Ashland",1970,12,43100
"Ashtabula",1970,25,98297
"Athens",1970,12,55773
"Auglaize",1970,8,38534
"Belmont",1970,43,80883
"Brown",1970,7,26744
"Butler",1970,63,226090
"Carroll",1970,6,21561
"Champaign",1970,9,30537
"Clark",1970,52,157125
"Clermont",1970,27,95378
"Clinton",1970,12,31380
"Columbiana",1970,28,108289
"Coshocton",1970,10,33378
"Crawford",1970,27,50433
"Cuyahoga",1970,666,1715252
"Darke",1970,16,49122
"Defiance",1970,12,36919
"Delaware",1970,10,42871
"Erie",1970,18,75950
"Fairfield",1970,26,73424
"Fayette",1970,12,25448
"Franklin",1970,273,835544
"Fulton",1970,5,33108
"Gallia",1970,13,25371
"Geauga",1970,17,62671
"Greene",1970,27,124787
"Guernsey",1970,19,37926
"Hamilton",1970,378,923609
"Hancock",1970,14,61141
"Hardin",1970,14,30699
"Harrison",1970,7,16929
"Henry",1970,4,27105
"Highland",1970,11,29073
"Hocking",1970,13,20366
"Holmes",1970,6,23134
"Huron",1970,22,49586
"Jackson",1970,13,27073
"Jefferson",1970,38,95980
"Knox",1970,12,41609
"Lake",1970,48,196138
"Lawrence",1970,25,56793
"Licking",1970,29,107655
"Logan",1970,17,35162
"Lorain",1970,84,256212
"Lucas",1970,189,483591
"Madison",1970,9,28346
"Mahoning",1970,120,303874
"Marion",1970,15,64809
"Medina",1970,18,82685
"Meigs",1970,10,19719
"Mercer",1970,13,35367
"Miami",1970,18,84255
"Monroe",1970,2,15681
"Montgomery",1970,189,606214
"Morgan",1970,7,12496
"Morrow",1970,2,21548
"Muskingum",1970,22,77772
"Noble",1970,3,10350
"Ottawa",1970,12,37066
"Paulding",1970,8,19317
"Perry",1970,12,27413
"Pickaway",1970,10,40176
"Pike",1970,2,19014
"Portage",1970,25,125784
"Preble",1970,8,34785
"Putnam",1970,3,31163
"Richland",1970,40,129412
"Ross",1970,15,60936
"Sandusky",1970,18,60751
"Scioto",1970,37,76834
"Seneca",1970,18,60482
"Shelby",1970,6,37551
"Stark",1970,112,371547
"Summit",1970,163,551390
"Trumbull",1970,77,232039
"Tuscarawas",1970,38,77130
"Union",1970,4,23982
"Van Wert",1970,9,29099
"Vinton",1970,4,9385
"Warren",1970,23,85246
"Washington",1970,17,57086
"Wayne",1970,22,87013
"Williams",1970,14,33609
"Wood",1970,24,89993
"Wyandot",1970,7,21829
"Adams",1971,6,19914
"Allen",1971,44,111528
"Ashland",1971,12,43266
"Ashtabula",1971,37,100613
"Athens",1971,12,57317
"Auglaize",1971,16,39222
"Belmont",1971,29,83376
"Brown",1971,5,27731
"Butler",1971,84,229375
"Carroll",1971,4,22083
"Champaign",1971,8,30901
"Clark",1971,53,159872
"Clermont",1971,26,98168
"Clinton",1971,13,31824
"Columbiana",1971,32,109791
"Coshocton",1971,8,33971
"Crawford",1971,13,51731
"Cuyahoga",1971,633,1706811
"Darke",1971,14,50225
"Defiance",1971,11,37178
"Delaware",1971,9,43647
"Erie",1971,21,77376
"Fairfield",1971,25,75352
"Fayette",1971,12,25947
"Franklin",1971,262,851557
"Fulton",1971,6,33988
"Gallia",1971,5,26215
"Geauga",1971,17,63064
"Greene",1971,26,126846
"Guernsey",1971,17,39320
"Hamilton",1971,416,922527
"Hancock",1971,10,62133
"Hardin",1971,10,30879
"Harrison",1971,8,17223
"Henry",1971,7,27517
"Highland",1971,10,29875
"Hocking",1971,10,20863
"Holmes",1971,3,24026
"Huron",1971,21,50485
"Jackson",1971,15,27200
"Jefferson",1971,31,97126
"Knox",1971,12,41923
"Lake",1971,67,197805
"Lawrence",1971,14,58434
"Licking",1971,41,109934
"Logan",1971,16,35867
"Lorain",1971,61,259142
"Lucas",1971,186,487670
"Madison",1971,6,28971
"Mahoning",1971,98,306113
"Marion",1971,29,66303
"Medina",1971,19,84298
"Meigs",1971,8,19937
"Mercer",1971,9,35624
"Miami",1971,26,85594
"Monroe",1971,4,15618
"Montgomery",1971,184,603843
"Morgan",1971,6,13196
"Morrow",1971,4,22751
"Muskingum",1971,30,78926
"Noble",1971,3,10348
"Ottawa",1971,8,37686
"Paulding",1971,3,19786
"Perry",1971,15,28032
"Pickaway",1971,8,41444
"Pike",1971,5,19021
"Portage",1971,26,128741
"Preble",1971,8,35796
"Putnam",1971,3,31734
"Richland",1971,35,129342
"Ross",1971,26,60935
"Sandusky",1971,14,61114
"Scioto",1971,39,77827
"Seneca",1971,16,60765
"Shelby",1971,13,37595
"Stark",1971,135,374615
"Summit",1971,180,550136
"Trumbull",1971,76,235130
"Tuscarawas",1971,29,78383
"Union",1971,8,25243
"Van Wert",1971,13,29106
"Vinton",1971,6,9377
"Warren",1971,24,86500
"Washington",1971,26,58036
"Wayne",1971,18,88415
"Williams",1971,14,33802
"Wood",1971,17,92655
"Wyandot",1971,6,22495
"Adams",1972,10,20714
"Allen",1972,36,110604
"Ashland",1972,12,43917
"Ashtabula",1972,44,100778
"Athens",1972,28,57450
"Auglaize",1972,6,39509
"Belmont",1972,32,83129
"Brown",1972,10,28859
"Butler",1972,102,232626
"Carroll",1972,6,22504
"Champaign",1972,14,30997
"Clark",1972,68,157732
